Zona,Movimento 5 Stelle,Percentuale voti Movimento 5 Stelle,Il Popolo della Famiglia,Percentuale voti Il Popolo della Famiglia,Per una Sinistra Rivoluzionaria,Percentuale voti Per una Sinistra Rivoluzionaria,Partito Comunista,Percentuale voti Partito Comunista,Civica Popolare,Percentuale voti Civica Popolare,Partito Democratico,Percentuale voti Partito Democratico,Italia Europa Insieme,Percentuale voti Italia Europa Insieme,Piu Europa,Percentuale voti Piu Europa,Unione di Centro,Percentuale voti Unione di Centro,Forza Italia,Percentuale voti Forza Italia,Lega Nord,Percentuale voti Lega Nord,Fratelli d Italia,Percentuale voti Fratelli d Italia,Italia agli Italiani,Percentuale voti Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Percentuale voti Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Percentuale voti Potere al Popolo,Liberi e Uguali,Percentuale voti Liberi e Uguali,Casa Pound,Percentuale voti Casa Pound,Totale Voti Validi
1,2687,23.76,70,0.62,21,0.19,102,0.9,62,0.55,3800,33.6,132,1.17,455,4.02,44,0.39,864,7.64,1567,13.86,327,2.89,38,0.34,17,0.15,209,1.85,864,7.64,50,0.44,11309
2,3911,24.99,70,0.45,40,0.26,114,0.73,80,0.51,4319,27.6,186,1.19,852,5.44,47,0.3,1199,7.66,2184,13.96,431,2.75,46,0.29,19,0.12,664,4.24,1401,8.95,86,0.55,15649
3,3642,26.27,68,0.49,36,0.26,129,0.93,59,0.43,4649,33.53,131,0.94,466,3.36,103,0.74,1011,7.29,1975,14.24,367,2.65,38,0.27,14,0.1,184,1.33,918,6.62,76,0.55,13866
4,492,12.12,20,0.49,3,0.07,7,0.17,51,1.26,1007,24.81,82,2.02,393,9.68,45,1.11,761,18.75,606,14.93,255,6.28,8,0.2,17,0.42,74,1.82,218,5.37,20,0.49,4059
5,2422,25.42,36,0.38,26,0.27,87,0.91,55,0.58,3240,34.0,103,1.08,355,3.73,45,0.47,655,6.87,1234,12.95,254,2.67,38,0.4,6,0.06,156,1.64,782,8.21,35,0.37,9529
6,2299,16.9,57,0.42,30,0.22,61,0.45,106,0.78,3761,27.64,213,1.57,1233,9.06,83,0.61,1529,11.24,1909,14.03,602,4.42,38,0.28,30,0.22,462,3.4,1109,8.15,85,0.62,13607
7,1014,13.31,44,0.58,9,0.12,24,0.31,65,0.85,1873,24.58,159,2.09,893,11.72,62,0.81,1217,15.97,1003,13.16,377,4.95,18,0.24,16,0.21,218,2.86,563,7.39,65,0.85,7620
8,1233,16.95,25,0.34,22,0.3,26,0.36,56,0.77,1811,24.89,130,1.79,761,10.46,40,0.55,848,11.66,842,11.57,304,4.18,20,0.27,20,0.27,325,4.47,777,10.68,35,0.48,7275
9,2048,27.09,28,0.37,16,0.21,72,0.95,46,0.61,2283,30.2,95,1.26,313,4.14,25,0.33,573,7.58,1064,14.08,194,2.57,25,0.33,9,0.12,150,1.98,577,7.63,41,0.54,7559
10,1075,16.39,35,0.53,23,0.35,35,0.53,37,0.56,1651,25.17,114,1.74,613,9.35,38,0.58,832,12.68,777,11.85,298,4.54,14,0.21,16,0.24,336,5.12,617,9.41,48,0.73,6559
11,1469,17.63,32,0.38,11,0.13,34,0.41,65,0.78,2096,25.16,132,1.58,719,8.63,52,0.62,1108,13.3,1092,13.11,435,5.22,24,0.29,19,0.23,277,3.32,702,8.43,64,0.77,8331
12,4775,23.05,107,0.52,46,0.22,164,0.79,181,0.87,6804,32.84,262,1.26,941,4.54,80,0.39,1732,8.36,2718,13.12,701,3.38,63,0.3,39,0.19,373,1.8,1650,7.96,80,0.39,20716
13,2704,17.17,90,0.57,28,0.18,66,0.42,151,0.96,4465,28.35,288,1.83,1326,8.42,97,0.62,1910,12.13,2202,13.98,739,4.69,49,0.31,29,0.18,317,2.01,1202,7.63,89,0.57,15752
14,2295,23.88,40,0.42,24,0.25,52,0.54,58,0.6,2646,27.53,134,1.39,595,6.19,52,0.54,801,8.34,1281,13.33,340,3.54,38,0.4,4,0.04,299,3.11,889,9.25,62,0.65,9610
15,3873,25.39,90,0.59,41,0.27,153,1.0,102,0.67,4600,30.15,136,0.89,638,4.18,59,0.39,1202,7.88,2158,14.14,401,2.63,62,0.41,22,0.14,394,2.58,1250,8.19,76,0.5,15257
16,2599,22.28,65,0.56,18,0.15,67,0.57,114,0.98,3394,29.09,159,1.36,707,6.06,49,0.42,1169,10.02,1681,14.41,452,3.87,34,0.29,18,0.15,204,1.75,866,7.42,71,0.61,11667
17,1841,27.02,34,0.5,13,0.19,57,0.84,38,0.56,2010,29.5,74,1.09,309,4.54,20,0.29,511,7.5,952,13.97,201,2.95,28,0.41,7,0.1,137,2.01,535,7.85,46,0.68,6813
18,4141,22.92,86,0.48,52,0.29,121,0.67,179,0.99,5110,28.28,400,2.21,1103,6.1,120,0.66,1636,9.05,2394,13.25,611,3.38,59,0.33,29,0.16,509,2.82,1429,7.91,89,0.49,18068
